"","affy_hg_u133_plus_2","hgnc_symbol"
"6793","1562712_at","LRRC8C"
"6794","1569607_s_at","ANKRD20A3P"
"6795","1570268_at","SMARCAD1-DT"
"6796","1569607_s_at","ANKRD20A4P"
"6797","1560419_at",""
"6798","1569607_s_at","ANKRD20A7P"
"6799","1567288_at","OR5K1"
"6800","1563728_at","LINC00032"
"6801","1569144_a_at","CYSRT1"
"6802","1569418_at","LINC00682"
"6803","1564610_at","LINC02002"
"6804","1562209_at","DCAF4L1"
"6805","1563709_at",""
"6806","1569561_at","PITX1"
"6807","1562965_at",""
"6808","1562617_at","SLC25A48-AS1"
"6809","1563119_at","LINC02078"
"6810","1560330_at","PCDH15"
"6811","1560946_at",""
"6812","1562274_at",""
"6813","1562857_at",""
"6814","1569030_s_at","NUB1"
"6815","1561003_at",""
"6816","1569057_s_at","MIA3"
"6817","1568914_at","OPN5"
"6818","1562991_at","ZNF292"
"6819","1560148_at",""
"6820","1562727_at",""
"6821","1560434_x_at","CLTA"
"6822","1560433_at","CLTA"
"6823","1569353_at","CCP110"
"6824","1561705_at","TTBK2-AS1"
"6825","1566182_at","RNU6ATAC7P"
"6826","1562219_at","LINC00951"
"6827","1567612_at","MDN1-AS1"
"6828","1562939_at","CARMIL1"
"6829","1566734_at","RNFT2"
"6830","1562022_s_at","RAD9A"
"6831","1560034_a_at","FCN1"
"6832","1561990_at",""
"6833","1567224_at","HMGA2"
"6834","1568287_at","HMGA2"
"6835","1561633_at","HMGA2"
"6836","1563137_at","MGAT5B"
"6837","1566816_at","FGF22"
"6838","1564027_a_at","TCAF2C"
"6839","1564253_at",""
"6840","1563496_at","RNF217-AS1"
"6841","1568748_at",""
"6842","1560774_at","RPSAP58"
"6843","1561889_at",""
"6844","1561691_at","LINC00326"
"6845","1564240_at","PSPN"
"6846","1564152_at",""
"6847","1563571_at","CTBP1-AS"
"6848","1569108_a_at","ZNF589"
"6849","1561106_at","AHI1-DT"
"6850","1560284_at","CTCF-DT"
"6851","1569852_at",""
"6852","1568826_at",""
"6853","1569878_at",""
"6854","1564138_at","FBXW12"
"6855","1561482_at",""
"6856","1570124_at","SLC29A4"
"6857","1569421_at","CLDN4"
"6858","1569783_at","LRRD1"
"6859","1560164_at","TRDN-AS1"
"6860","1562566_at","TRAF3IP2-AS1"
"6861","1568783_at","SREK1"
"6862","1560684_x_at",""
"6863","1560683_at",""
"6864","1565588_at","SP140L"
"6865","1561806_at","LINC02065"
"6866","1560467_at","PAQR9"
"6867","1564776_at",""
"6868","1560911_at","LINC02171"
"6869","1561960_at","DNM1P51"
"6870","1561306_s_at","STRCP1"
"6871","1561306_s_at",""
"6872","1565254_s_at","ELL"
"6873","1569979_at","ZNF875"
"6874","1569980_x_at","ZNF875"
"6875","1560662_s_at",""
"6876","1565889_at","TAB2"
"6877","1563030_at","TRAF4"
"6878","1560916_a_at","DPY19L1P2"
"6879","1567247_at","OR5H1"
"6880","1561405_s_at","CATSPER2P1"
"6881","1561335_at","CYMP-AS1"
"6882","1565778_at","ABCA8"
"6883","1570057_x_at",""
"6884","1570055_at",""
"6885","1564651_at","SMIM13"
"6886","1561572_at","LINC02199"
"6887","1569402_at","MEIS3"
"6888","1560228_at","SNAI3"
"6889","1569146_s_at",""
"6890","1561226_at","XCR1"
"6891","1564204_at",""
"6892","1561502_x_at",""
"6893","1561500_at",""
"6894","1561501_s_at",""
"6895","1560723_at",""
"6896","1560430_at","NKPD1"
"6897","1569146_s_at","SOGA3"
"6898","1566989_at",""
"6899","1566990_x_at",""
"6900","1566991_at","ARID1B"
"6901","1563872_at","VSTM2B-DT"
"6902","1561532_at","DACT3-AS1"
"6903","1570566_at","NAIP"
"6904","1568939_at","OR8B2"
"6905","1568713_a_at","TBC1D1"
"6906","1569566_at","TBC1D1"
"6907","1565906_at","NADSYN1"
"6908","1568802_at","NADSYN1"
"6909","1569504_at","VN1R105P"
"6910","1561894_at","CYREN"
"6911","1567559_s_at","TREML3P"
"6912","1567559_s_at",""
"6913","1560246_at","RETREG1-AS1"
"6914","1569620_s_at",""
"6915","1569147_at",""
"6916","1568643_a_at","LINC01843"
"6917","1568821_at",""
"6918","1568634_a_at","LRRC66"
"6919","1569504_at","LILRB4"
"6920","1561960_at",""
"6921","1568891_x_at","FANCD2"
"6922","1568889_at","FANCD2"
"6923","1561507_at","FFAR1"
"6924","1561101_at","JAKMIP2-AS1"
"6925","1568678_s_at","CEP43"
"6926","1569521_s_at",""
"6927","1569520_at",""
"6928","1568678_s_at",""
"6929","1570125_at","GHET1"
"6930","1561198_at","GVQW3"
"6931","1569376_s_at","SLC12A2-DT"
"6932","1569375_at","SLC12A2-DT"
"6933","1560296_at","DST"
"6934","1562876_s_at",""
"6935","1559881_s_at","ZNF12"
"6936","1562416_at","FLNB"
"6937","1562640_at","HOXA-AS2"
"6938","1564070_s_at","HOTTIP"
"6939","1564069_at","HOTTIP"
"6940","1564070_s_at",""
"6941","1564069_at",""
"6942","1569072_s_at","ABCB5"
"6943","1563087_at","CTNNA2-AS1"
"6944","1561731_at",""
"6945","1569157_s_at","ZNF846"
"6946","1564331_at","ZNF846"
"6947","1569156_at","ZNF846"
"6948","1563263_at",""
"6949","1566403_at","RPL18A"
"6950","1566403_at","SNORA68"
"6951","1561033_at","ZNF451-AS1"
"6952","1569916_at","SLC6A15"
"6953","1564044_at","KNCN"
"6954","1560720_at","MKNK1"
"6955","1564907_s_at",""
"6956","1568658_at",""
"6957","1561084_at",""
"6958","1562896_at","TNRC18"
"6959","1564327_at",""
"6960","1563290_at","DNAH3"
"6961","1560803_at","DNAH3"
"6962","1564027_a_at","TCAF2"
"6963","1564028_s_at","TCAF2"
"6964","1559759_at","KIFC3"
"6965","1561088_at","EYA4"
"6966","1561089_at",""
"6967","1562261_at","AMZ1"
"6968","1561179_s_at","AMZ1"
"6969","1569637_at","ZNF736"
"6970","1569773_at","ATP8A1"
"6971","1562777_at","ERV3-1"
"6972","1569777_a_at","ZPLD1"
"6973","1561969_at","ZPLD1"
"6974","1561450_at",""
"6975","1563533_at","GADL1"
"6976","1570020_at","AACSP1"
"6977","1569110_x_at",""
"6978","1568764_x_at",""
"6979","1568762_at",""
"6980","1565705_x_at","ARPC3"
"6981","1569515_a_at",""
"6982","1562683_a_at","LINC01097"
"6983","1560439_at","LINGO3"
"6984","1570420_at","STXBP2"
"6985","1569114_at",""
"6986","1560577_at",""
"6987","1560099_at","CCDC144NL-AS1"
"6988","1564359_a_at","CCDC144NL-AS1"
"6989","1564360_a_at","CCDC144NL-AS1"
"6990","1562754_at","CCDC144NL-AS1"
"6991","1560630_at","ATP8A1-DT"
"6992","1564688_a_at","RAD9B"
"6993","1563581_at","RPL34-DT"
"6994","1563099_at",""
"6995","1560068_a_at",""
"6996","1570414_x_at","KLF3-AS1"
"6997","1568680_s_at","YTHDC2"
"6998","1563462_at","LINC01091"
"6999","1561096_at","LINC01091"
"7000","1568616_a_at",""
"7001","1569330_at","STX18-AS1"
"7002","1561036_at","LINC01703"
"7003","1561037_a_at","LINC01703"
"7004","1568596_a_at","TROAP"
"7005","1560891_a_at","LINC01088"
"7006","1560890_at","LINC01088"
"7007","1561530_at",""
"7008","1562785_at","PPM1K-DT"
"7009","1569713_at","SEC24B-AS1"
"7010","1569772_x_at",""
"7011","1560317_s_at","HIP1"
"7012","1565149_at","DYNC2H1"
"7013","1561939_at","DYNC2H1"
"7014","1560018_at","ARPP21"
"7015","1563071_at","ADAMTSL4-AS2"
"7016","1569078_at","RNF213-AS1"
"7017","1560445_x_at","ARHGEF1"
"7018","1563065_at",""
"7019","1563563_at","CCDC40"
"7020","1560279_a_at","LINC02685"
"7021","1560278_at","LINC02685"
"7022","1562079_at",""
"7023","1561749_at",""
"7024","1560854_s_at","ZNF107"
"7025","1559863_a_at","AFG3L1P"
"7026","1561973_at","SMARCC2"
"7027","1560753_at",""
"7028","1563673_a_at","C2CD6"
"7029","1560464_at","TSPAN10"
"7030","1560554_a_at","OBSCN-AS1"
"7031","1560130_at","OBSCN-AS1"
"7032","1561055_at","LINC02192"
"7033","1564238_a_at","WDR49"
"7034","1568683_at","SNAI3-AS1"
"7035","1561041_at","TNRC6C"
"7036","1564679_at","ASB15"
"7037","1563687_a_at","FRYL"
"7038","1562650_at","FRYL"
"7039","1562625_at","FRYL"
"7040","1567060_at","OR8G1"
"7041","1560812_at",""
"7042","1560241_at",""
"7043","1561665_at",""
"7044","1564373_a_at","LINC02175"
"7045","1569876_at","EFCAB13"
"7046","1562053_at","GALNT7-DT"
"7047","1561849_at","PKD1L2"
"7048","1560460_at","SAP30-DT"
"7049","1569138_a_at",""
"7050","1561942_x_at","ERVK13-1"
"7051","1563629_a_at","ERVK13-1"
"7052","1569646_a_at","KIRREL3-AS2"
"7053","1560703_at","LYRM9"
"7054","1568851_at","LINC01352"
"7055","1568852_x_at","LINC01352"
"7056","1560495_at","METTL14-DT"
"7057","1561683_at",""
"7058","1560407_at","MARK1"
"7059","1562228_s_at","PDE5A"
"7060","1562227_at","PDE5A"
"7061","1566191_at","SUZ12"
"7062","1566253_at","SH3GL1P1"
"7063","1569450_at","CAPZA2"
"7064","1570281_at",""
"7065","1568794_at","LINC01750"
"7066","1568830_at","IRAK3"
"7067","1569737_a_at","CASKIN1"
"7068","1569004_at","CARD8-AS1"
"7069","1565389_s_at","GRM5"
"7070","1564828_at","CRACD"
"7071","1563157_at","FOXP1-AS1"
"7072","1563452_at","AVL9"
"7073","1570623_at",""
"7074","1565608_at",""
"7075","1569788_at","ST8SIA1"
"7076","1561086_at",""
"7077","1563679_at","LINC01104"
"7078","1562747_at","IL6R-AS1"
"7079","1563454_at","SOX6"
"7080","1570486_at","SOX6"
"7081","1564040_a_at","TMEM235"
"7082","1565881_at","ARHGAP35"
"7083","1561271_at","CCDC144A"
"7084","1569283_at","ZNF891"
"7085","1560411_at",""
"7086","1568864_at","MZF1-AS1"
"7087","1563677_at","CDON"
"7088","1562226_at","VWDE"
"7089","1569022_a_at","PIK3C2A"
"7090","1569021_at","PIK3C2A"
"7091","1569587_at","PIK3C2A"
"7092","1569588_x_at","PIK3C2A"
"7093","1560689_s_at","AKT2"
"7094","1569320_at","GPBP1L1"
"7095","1565436_s_at","KMT2A"
"7096","1559856_s_at","KMT2A"
"7097","1564600_a_at","IHO1"
"7098","1569690_at","IHO1"
"7099","1559954_s_at","DDX42"
"7100","1559953_at","DDX42"
"7101","1560576_at","LINC01842"
"7102","1568672_at","EAF2"
"7103","1568673_s_at","EAF2"
"7104","1559770_at",""
"7105","1569478_s_at","LINC02987"
"7106","1569956_at","MYLK"
"7107","1563466_at","MYLK"
"7108","1568770_at","MYLK"
"7109","1569496_s_at","SPON2"
"7110","1560238_at","LINC00665"
"7111","1569468_at","ZNF876P"
"7112","1560238_at","LINC01535"
"7113","1561446_at","LINC02753"
"7114","1561760_s_at",""
"7115","1561761_x_at",""
"7116","1561759_at",""
"7117","1561332_at","ATP13A5"
"7118","1564786_at","VSIG10L2"
"7119","1560697_at","TRHDE-AS1"
"7120","1560698_a_at","TRHDE-AS1"
"7121","1567247_at","OR5H15"
"7122","1563253_s_at","ERBB3"
"7123","1563252_at","ERBB3"
"7124","1563595_at","SRGAP3"
"7125","1570344_at",""
"7126","1563680_at",""
"7127","1569693_at","BTBD8"
"7128","1561575_at",""
"7129","1561576_a_at",""
"7130","1568804_at",""
"7131","1565867_a_at","ZC3H11A"
"7132","1562984_at",""
"7133","1570342_at","NKTR"
"7134","1569138_a_at","SRCAP"
"7135","1568658_at","C2orf74"
"7136","177_at","PLD1"
"7137","1569076_a_at",""
"7138","1569076_a_at","ZNF836"
"7139","1569077_x_at","ZNF836"
"7140","1562245_a_at",""
"7141","1562244_at",""
"7142","1560390_s_at","LINC00663"
"7143","1569318_at","LINC00663"
"7144","1568720_at","ZNF506"
"7145","1569241_a_at","ZNF93"
"7146","1569240_at","ZNF93"
"7147","1563182_at","ACVR1C"
"7148","1564945_at","TBX20"
"7149","1561519_at","LINC02047"
"7150","1562914_a_at","LINC00905"
"7151","1563097_at","DNAH12"
"7152","1565034_s_at","AFF3"
"7153","1561114_a_at","DEPDC4"
"7154","1561880_a_at","SIGLEC16"
"7155","1569073_x_at","SMARCA4"
"7156","1565839_a_at","PRDM4-AS1"
"7157","1569776_at",""
"7158","1563488_at","TMEM132B"
"7159","1561597_x_at","GTF2IRD2"
"7160","1561596_at","GTF2IRD2"
"7161","1569696_at","CSMD2-AS1"
"7162","1569407_at",""
"7163","1560916_a_at","DPY19L1"
"7164","1560915_at","DPY19L1"
"7165","1569729_a_at","ASZ1"
"7166","1562257_x_at","NLRP1"
"7167","1562256_at","NLRP1"
"7168","1564760_at",""
"7169","1569106_s_at","SETD5"
"7170","1569105_at","SETD5"
"7171","1568857_a_at","NBR1"
"7172","1568856_at","NBR1"
"7173","1566169_at",""
"7174","1570373_at","ZNF746"
"7175","1562321_at","PDK4"
"7176","1569843_at","DYNC1I1"
"7177","1570572_at",""
"7178","1566108_at",""
"7179","1569909_at","KRT79"
"7180","1559942_at","MDFIC"
"7181","1563391_at","LINC01737"
"7182","1567107_s_at","TPM4"
"7183","1559989_at",""
"7184","1569827_at","ATG7"
"7185","1568690_a_at",""
"7186","1568689_at",""
"7187","1562098_at",""
"7188","1569006_at",""
"7189","1562791_at","MYCBPAP"
"7190","1559789_a_at","ZNF781"
"7191","1559789_a_at",""
"7192","1560853_x_at",""
"7193","1569191_at",""
"7194","1566544_at",""
"7195","1562048_at","RDUR"
"7196","1562048_at",""
"7197","1561266_at",""
"7198","1569861_at","TRAF5"
"7199","1570326_at",""
"7200","1560762_at","LINC00996"
"7201","1560779_a_at",""
"7202","1562282_at","ZNF568"
"7203","1561425_a_at","ZNF568"
"7204","1560779_a_at","ZNF568"
"7205","1564356_at","ZNF568"
"7206","1568900_a_at","ZNF568"
"7207","1564164_at","DENND1B"
"7208","1567249_at","OR9A1P"
"7209","1562953_s_at","WDFY3-AS2"
"7210","1561598_at","TRIB2"
"7211","1569675_at","POU2AF1"
"7212","1568906_at","MIR34BHG"
"7213","1568906_at","MIR34B"
"7214","1568906_at","MIR34C"
"7215","1564729_at",""
"7216","1564729_at","BTG4"
"7217","1568606_at","HOATZ"
"7218","1561589_a_at","NBEAL1"
"7219","1561595_x_at","ZNF426-DT"
"7220","1564310_a_at","PARP15"
"7221","1560974_s_at","NOS1"
"7222","1570352_at","ATM"
"7223","1561431_at",""
"7224","1569062_s_at","IQGAP3"
"7225","1569061_at","IQGAP3"
"7226","1562579_at","FAM126B"
"7227","1562888_at","GLB1L3"
"7228","1569886_a_at","GLB1L3"
"7229","1560712_at","TMPRSS11B"
"7230","1564459_at","DDC-AS1"
"7231","1565818_s_at","IKZF1"
"7232","1565817_at","IKZF1"
"7233","1562546_at","LINC01409"
"7234","1569095_at","MIR3945HG"
"7235","1559777_at","MIR3945HG"
"7236","1562788_at","LINC01342"
"7237","1565936_a_at","LMO3"
"7238","1560477_a_at","SAMD11"
"7239","1563222_at","TMBIM4"
"7240","1564309_at","LINC00486"
"7241","1564485_at","LINC00887"
"7242","1567183_s_at",""
"7243","1561329_s_at","RPUSD3"
"7244","1566603_s_at","RPUSD3"
"7245","1565857_at",""
"7246","1562922_at",""
"7247","1561378_at","C12orf42"
"7248","1564868_a_at","FAM117B"
"7249","1561094_a_at","SLC22A25"
"7250","1561093_at","SLC22A25"
"7251","1565484_x_at","EGFR"
"7252","1565483_at","EGFR"
"7253","1564984_at",""
"7254","1562424_at","RNF32-DT"
"7255","1568609_s_at",""
"7256","1569378_at","LINC00942"
"7257","1563947_a_at","ERC1"
"7258","1563098_at","IGFN1"
"7259","1560156_at",""
"7260","1562850_at","POT1-AS1"
"7261","1569401_at","CLEC12A"
"7262","1561940_at","CHFR"
"7263","1561916_at","LINC02848"
"7264","1559849_at","ZNF605"
"7265","1560251_at",""
"7266","1563781_at","GARS1-DT"
"7267","1559979_at","SYF2"
"7268","1561666_a_at","PSMG3-AS1"
"7269","1565856_at","LINC-PINT"
"7270","1560527_at","NFE4"
"7271","1564937_at","R3HDM2"
"7272","1570371_a_at","SELENOI"
"7273","1560174_at","SPAG16"
"7274","1561469_at","LINC02728"
"7275","1564150_a_at","LINC01619"
"7276","1559975_at","LINC01619"
"7277","1559817_at","SLC38A4-AS1"
"7278","1569349_at","EMSY"
"7279","1569486_at",""
"7280","1564876_s_at","FOXP2"
"7281","1562139_a_at","FOXP2"
"7282","1564301_a_at","RPAIN"
"7283","1562648_at","CCDC88A"
"7284","1568978_s_at","C11orf21"
"7285","1560292_a_at","TMCO4"
"7286","1561726_s_at","CD81-AS1"
"7287","1560006_a_at",""
"7288","1568597_at",""
"7289","1569269_s_at","SRGAP1"
"7290","1565436_s_at",""
"7291","1565269_s_at","ATF1"
"7292","1567458_s_at","RAC1"
"7293","1569176_at","TMPRSS12"
"7294","1561396_at","EPHA6"
"7295","1561387_a_at","NXPE1"
"7296","1567240_x_at","OR2L2"
"7297","1567238_at","OR2L2"
"7298","1566289_at","OR2M4"
"7299","1563913_at","LINC02044"
"7300","1562490_at","THEM5"
"7301","1560696_x_at","QTRT2"
"7302","1560695_at","QTRT2"
"7303","1560277_a_at","LINC02874"
"7304","1560276_at","LINC02874"
"7305","1561271_at","CCDC144CP"
"7306","1564435_a_at","KRT72"
"7307","1563887_at",""
"7308","1560204_at","NT5DC4"
"7309","1562019_at","NT5DC4"
"7310","1562020_s_at","NT5DC4"
"7311","1569473_s_at",""
"7312","1564027_a_at","TCAF2P1"
"7313","1564027_a_at",""
"7314","1564028_s_at",""
"7315","1570044_at",""
"7316","1569257_at","FMNL1"
"7317","1560781_at","DNHD1"
"7318","1569579_at",""
"7319","1569580_a_at",""
"7320","1569296_a_at",""
"7321","1569107_s_at","ZFP69"
"7322","1569714_at","RBSN"
"7323","1560995_s_at",""
"7324","1569253_at","INTS4"
"7325","1569254_s_at","INTS4"
"7326","1562408_at",""
"7327","1562409_s_at",""
"7328","1564383_s_at",""
"7329","1566253_at","ATF4P4"
"7330","1566253_at",""
"7331","1565554_at","LINC00628"
"7332","1563101_at","ARNTL2-AS1"
"7333","1569974_x_at",""
"7334","1569973_at",""
"7335","1569936_a_at",""
"7336","1569935_at",""
"7337","1562619_at","NME9"
"7338","1563456_at","CCDC141"
"7339","1567054_at",""
"7340","1569898_a_at","PAXIP1-AS2"
"7341","1567055_at","OR1C1"
"7342","1561273_at","HOXC-AS3"
"7343","1562046_at","LINC01788"
"7344","1560305_x_at","FKBP4"
"7345","1560303_at","FKBP4"
"7346","1560939_at","PCOLCE-AS1"
"7347","1565580_s_at","TATDN2"
"7348","1565731_at","ALDH3B1"
"7349","1560792_at","IER5"
"7350","1565951_s_at","CHML"
"7351","1560117_at","ABHD1"
"7352","1560458_s_at","CAPS2"
"7353","1560553_at","MYO18A"
"7354","1568834_s_at","CCDC90B"
"7355","1561546_at","FGD5-AS1"
"7356","1567862_at","DNAH14"
"7357","1560785_at","DYRK3"
"7358","1560850_at",""
"7359","1560834_a_at","RMST"
"7360","1562633_at","RMST"
"7361","1565809_x_at","TMEM88B"
"7362","1559848_at","NSUN4"
"7363","1569838_at","ZNF84-DT"
"7364","1560573_at","LINC00944"
"7365","1560818_at","LINC00944"
"7366","1560819_a_at","LINC00944"
"7367","1564533_at","PAFAH1B2P2"
"7368","1570009_at","PAFAH1B2P2"
"7369","1567253_at","OR10D3"
"7370","1570516_s_at","OR51B5"
"7371","1561899_at","CLECL1"
"7372","1564220_a_at","LINC01234"
"7373","1563369_at","LINC00173"
"7374","1569268_at","GRIN2C"
"7375","1559766_at","ALDH1L1-AS2"
"7376","1570395_a_at","FAM66C"
"7377","1570396_at","FAM66C"
"7378","1570397_x_at","FAM66C"
"7379","1563707_at","RPAP3-DT"
"7380","1565732_at","RPAP3-DT"
"7381","1568955_at","SRGAP2"
"7382","1568957_x_at","SRGAP2"
"7383","1564837_at","NECTIN3-AS1"
"7384","1564838_a_at","NECTIN3-AS1"
"7385","1569104_a_at","PTPN23-DT"
"7386","1561581_at","GSK3B-DT"
"7387","1559827_at","LINC00960"
"7388","1559826_a_at","LINC00960"
"7389","1564175_at","LINC00960"
"7390","1566984_at","LRRC37A16P"
"7391","1560168_at","LRRC77P"
"7392","1560978_at",""
"7393","1568191_at","CBL"
"7394","1560642_at",""
"7395","1560643_x_at",""
"7396","1562295_at","ADAMTS9-AS2"
"7397","1560994_x_at",""
"7398","1563691_at","RPL23AP49"
"7399","1570171_at",""
"7400","1568593_a_at","NUDT16L2P"
"7401","1568933_at",""
"7402","1563635_at","ITGA9-AS1"
"7403","1559889_at","H3-7"
"7404","1566761_a_at","ATP13A3-DT"
"7405","1569925_at","DNAH17-AS1"
"7406","1561592_at","LINC02763"
"7407","1560058_at",""
"7408","1563376_at",""
"7409","1562520_at",""
"7410","1562699_at",""
"7411","1562217_at","ZBTB44-DT"
"7412","1568949_at","PITPNC1"
"7413","1569180_at","LRRC37A2"
"7414","1569181_x_at","LRRC37A2"
"7415","1561087_at","LINC02367"
"7416","1566473_a_at","TGOLN2"
"7417","1561820_at","SCN8A"
"7418","1566472_s_at","RETSAT"
"7419","1561983_at","LINC01206"
"7420","1563053_at","CCDC13-AS2"
"7421","1563800_at","LINC02762"
"7422","1561539_at","FZD4-DT"
"7423","1561607_at","SLC6A12-AS1"
"7424","1564736_a_at","CASP12"
"7425","1561045_a_at","LINC01732"
"7426","1561044_at","LINC01732"
"7427","1560589_a_at","LINC02683"
"7428","1569638_at","SOX5"
"7429","1570049_at","LINC00910"
"7430","1560531_at","LCE1B"
"7431","1560760_s_at","LINC01527"
"7432","1561222_at","LINC00485"
"7433","1563038_at",""
"7434","1569178_at","GRIA4"
"7435","1562716_at","LINC02800"
"7436","1563776_at","MSANTD2-AS1"
"7437","1568888_at","MSANTD2-AS1"
"7438","1570384_at",""
"7439","1570169_at","CSMD2"
"7440","1560202_at","CSTF3-DT"
"7441","1567058_at","OR8G2P"
"7442","1570130_at","SPATS2"
"7443","1562601_at","LINC01121"
"7444","1562717_at","LINC00299"
"7445","1567271_at","OR4C1P"
"7446","1567271_at",""
"7447","1561997_at",""
"7448","1561443_at",""
"7449","1562523_at","LINC01877"
"7450","1569570_at","AGBL4"
"7451","1562273_at","CNGA4"
"7452","1564635_a_at","FHAD1"
"7453","1563830_a_at","FHAD1"
"7454","1563639_a_at","FHAD1"
"7455","1560097_at","FHAD1"
"7456","1563961_at","FHAD1"
"7457","1569624_at","FTOP1"
"7458","1562378_s_at","PROM2"
"7459","1569582_at","AADACP1"
"7460","1569582_at",""
"7461","1560262_at",""
"7462","1562870_at","ETS1-AS1"
"7463","1565577_s_at","NOL10"
"7464","1565576_at","NOL10"
"7465","1560944_at","SLC25A3P1"
"7466","1566129_at","LIMS1"
"7467","1562095_at","SLMAP"
"7468","1564449_at","USP2-AS1"
"7469","1562776_at","LINC02579"
"7470","1569102_at","ABCA4"
"7471","1559893_at","GPATCH11"
"7472","1560588_at",""
"7473","1560634_a_at",""
"7474","1570261_at",""
"7475","1562475_at","TEX41"
"7476","1569885_at","LINC00882"
"7477","1567334_at",""
"7478","1560514_at","LINC00636"
"7479","1566084_at","NBPF11"
"7480","1560928_at",""
"7481","1564467_at","FAM161A"
"7482","1561489_at",""
"7483","1560538_at",""
"7484","1564423_a_at","SEC16B"
"7485","1570242_x_at","SPATA21"
"7486","1570241_at","SPATA21"
"7487","1569850_at","ADGRL2"
"7488","1563655_at","TNNT2"
"7489","1566720_at","RPS10P7"
"7490","1561847_at","NUDT17"
"7491","1561370_at",""
"7492","1560932_at","FOSL2-AS1"
"7493","1569355_at","KCNIP3"
"7494","1562854_at","CCDC181"
"7495","1565674_at","FCGR2C"
"7496","1568609_s_at","LINC00623"
"7497","1561479_at",""
"7498","1561480_a_at",""
"7499","1560043_at","CYB5R1"
"7500","1570023_at","MGAT4EP"
"7501","1568665_at","RNF103"
"7502","1561651_s_at","TAL1"
"7503","1569325_at","ARPC5"
"7504","1563834_a_at","AKNAD1"
"7505","1561555_at","LINC00970"
"7506","1567013_at","NFE2L2"
"7507","1569034_a_at","MSH6"
"7508","1561976_at","C1orf167"
"7509","1569112_at","SLC44A5"
"7510","1563083_s_at",""
"7511","1562415_a_at","SPOCD1"
"7512","1563142_at",""
"7513","1561331_at","LINC01036"
"7514","1562326_at","LINC01122"
"7515","1570285_at","LNCATV"
"7516","1568905_at","SLC44A3-AS1"
"7517","1562909_at","LINC00862"
"7518","1564413_at","LINC01356"
"7519","1563298_at","LINC01831"
"7520","1562731_s_at","MDS2"
"7521","1563027_at","LINC01821"
"7522","1560679_at","LINC01127"
"7523","1560010_a_at","SATB2-AS1"
"7524","1568691_at",""
"7525","1568955_at","SRGAP2B"
"7526","1568957_x_at","SRGAP2B"
"7527","1563002_at","UAP1-DT"
"7528","1570116_at",""
"7529","1562056_at","CYTOR"
"7530","1560625_s_at","CATIP-AS1"
"7531","1562604_at","EPCAM-DT"
"7532","1562481_at","PCBP1-AS1"
"7533","1568640_at","PCBP1-AS1"
"7534","1561103_at",""
"7535","1560288_at","FSIP2-AS2"
"7536","1560347_at",""
"7537","1560328_s_at",""
"7538","1563044_at",""
"7539","1570337_at","FIGLA"
"7540","1559977_a_at","SLC25A34"
"7541","1559787_at","LINC01800"
"7542","1570006_at","LINC02245"
"7543","1561511_at",""
"7544","1561034_at",""
"7545","1569469_a_at","LHX8"
"7546","1560101_at","SYDE2"
"7547","1563904_at","PLPPR5-AS1"
"7548","1563674_at","FCRL2"
"7549","1563876_at","TEX35"
"7550","1563876_at","C1orf220"
"7551","1568868_at","CYP27C1"
"7552","1560806_at","PRSS40A"
"7553","1569502_s_at","TP73-AS1"
"7554","1564280_x_at",""
"7555","1561197_at",""
"7556","1569040_s_at","ANKRD36BP2"
"7557","1569040_s_at",""
"7558","1569013_s_at",""
"7559","1561615_s_at","SLC8A1"
"7560","1561614_at","SLC8A1"
"7561","1565306_a_at","SLC8A1"
"7562","1564985_a_at","SLC8A1"
"7563","1570080_at","HIPK1-AS1"
"7564","1570082_x_at","HIPK1-AS1"
"7565","1562902_at",""
"7566","1561853_a_at","IL23R"
"7567","1569706_at","MYSM1"
"7568","1561732_at","LINC01647"
"7569","1563743_at","LINC01555"
"7570","1565867_a_at","ZBED6"
"7571","1561433_at","MED15P9"
"7572","1562871_at",""
"7573","1568812_at","LINC01792"
"7574","1568938_at","LINC01398"
"7575","1568752_s_at","RGS13"
"7576","1568751_at","RGS13"
"7577","1561345_at",""
"7578","1569701_at","PER3"
"7579","1570533_at","CMPK1"
"7580","1562103_at","LINC01359"
"7581","1561281_a_at","LEMD1-AS1"
"7582","1561280_at","LEMD1-AS1"
"7583","1564351_at",""
"7584","1561884_at","CEPT1"
"7585","1559821_at",""
"7586","1561625_at",""
"7587","1562341_at","LINC01725"
"7588","1566084_at",""
"7589","1569895_at","LINC01134"
"7590","1569604_at","LINC01134"
"7591","1568853_at","TDRKH-AS1"
"7592","1562474_at","WARS2-AS1"
"7593","1561553_at","WARS2-AS1"
"7594","1560579_s_at","LINC01357"
"7595","1561693_at","LRRC52-AS1"
"7596","1560579_s_at","SLC16A1-AS1"
"7597","1568799_at","SLC16A1-AS1"
"7598","1568813_at","SLC16A1-AS1"
"7599","1570451_at","MIR9-1HG"
"7600","1560746_at","NEXN-AS1"
"7601","1565671_a_at","KIAA1614"
"7602","1568746_a_at","LINC01704"
"7603","1568745_at","LINC01704"
"7604","1569748_at",""
"7605","1560560_at",""
"7606","1568609_s_at","LINC01138"
"7607","1562674_at","LINC02806"
"7608","1569676_at","TOR1AIP2"
"7609","1568832_a_at",""
"7610","1567242_at","OR2L1P"
"7611","1567242_at",""
"7612","1570015_at",""
